Symbol,Security,GICS Sector,GICS Sub-Industry,Date first added
RHI,Robert Half International,Industrials,Human Resource & Employment Services,2000-12-05
RJF,Raymond James Financial Inc.,Financials,Investment Banking & Brokerage,2017-03-20
RL,Ralph Lauren Corporation,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",2007-02-02
RMD,ResMed,Health Care,Health Care Equipment,2017-07-26
ROK,Rockwell Automation Inc.,Industrials,Electrical Components & Equipment,
ROL,Rollins Inc.,Industrials,Environmental & Facilities Services,2018-10-01
ROP,Roper Technologies,Industrials,Industrial Conglomerates,2009-12-23
ROST,Ross Stores,Consumer Discretionary,Apparel Retail,2009-12-21
RSG,Republic Services Inc,Industrials,Environmental & Facilities Services,2008-12-05
RTX,Raytheon Technologies,Industrials,Aerospace & Defense,
SBAC,SBA Communications,Real Estate,Specialized REITs,2017-09-01
SBUX,Starbucks Corp.,Consumer Discretionary,Restaurants,
SCHW,Charles Schwab Corporation,Financials,Investment Banking & Brokerage,1997-06-02
SEE,Sealed Air,Materials,Paper Packaging,1957-03-04
SHW,Sherwin-Williams,Materials,Specialty Chemicals,1964-06-30
SIVB,SVB Financial,Financials,Regional Banks,2018-03-19
SJM,JM Smucker,Consumer Staples,Packaged Foods & Meats,2008-11-06
SLB,Schlumberger Ltd.,Energy,Oil & Gas Equipment & Services,1965-03-31
SLG,SL Green Realty,Real Estate,Office REITs,2015-03-20
SNA,Snap-on,Industrials,Industrial Machinery,1982-09-30
SNPS,Synopsys Inc.,Information Technology,Application Software,2017-03-16
SO,Southern Company,Utilities,Electric Utilities,1957-03-04
SPG,Simon Property Group Inc,Real Estate,Retail REITs,2002-06-26
SPGI,"S&P Global, Inc.",Financials,Financial Exchanges & Data,
SRE,Sempra Energy,Utilities,Multi-Utilities,
STE,STERIS plc,Health Care,Health Care Equipment,2019-12-23
STT,State Street Corp.,Financials,Asset Management & Custody Banks,
STX,Seagate Technology,Information Technology,"Technology Hardware, Storage & Peripherals",2012-07-02
STZ,Constellation Brands,Consumer Staples,Distillers & Vintners,2005-07-01
SWK,Stanley Black & Decker,Industrials,Industrial Machinery,1982-09-30
SWKS,Skyworks Solutions,Information Technology,Semiconductors,2015-03-12
SYF,Synchrony Financial,Financials,Consumer Finance,2015-11-18
SYK,Stryker Corp.,Health Care,Health Care Equipment,2000-12-12
SYY,Sysco Corp.,Consumer Staples,Food Distributors,1986-12-31
T,AT&T Inc.,Communication Services,Integrated Telecommunication Services,1983-11-30 (1957-03-04)
TAP,Molson Coors Beverage Company,Consumer Staples,Brewers,1976-06-30
TDG,TransDigm Group,Industrials,Aerospace & Defense,2016-06-03
TDY,Teledyne Technologies,Industrials,Aerospace & Defense,2020-06-22
TEL,TE Connectivity Ltd.,Information Technology,Electronic Manufacturing Services,2011-10-17
TER,Teradyne,Information Technology,Semiconductor Equipment,2020-09-21
TFC,Truist Financial,Financials,Regional Banks,1997-12-04
TFX,Teleflex,Health Care,Health Care Equipment,2019-01-18
TGT,Target Corp.,Consumer Discretionary,General Merchandise Stores,1976-12-31
TIF,Tiffany & Co.,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",2000-06-21
TJX,TJX Companies Inc.,Consumer Discretionary,Apparel Retail,1985-09-30
TMO,Thermo Fisher Scientific,Health Care,Life Sciences Tools & Services,
TMUS,T-Mobile US,Communication Services,Wireless Telecommunication Services,2019-07-15
TPR,"Tapestry, Inc.",Consumer Discretionary,"Apparel, Accessories & Luxury Goods",
TROW,T. Rowe Price Group,Financials,Asset Management & Custody Banks,
TRV,The Travelers Companies Inc.,Financials,Property & Casualty Insurance,2002-08-21
TSCO,Tractor Supply Company,Consumer Discretionary,Specialty Stores,2014-01-24
TSN,Tyson Foods,Consumer Staples,Packaged Foods & Meats,
TT,Trane Technologies plc,Industrials,Building Products,2010-11-17
TTWO,Take-Two Interactive,Communication Services,Interactive Home Entertainment,2018-03-19
TWTR,"Twitter, Inc.",Communication Services,Interactive Media & Services,2018-06-07
TXN,Texas Instruments,Information Technology,Semiconductors,
TXT,Textron Inc.,Industrials,Aerospace & Defense,1978-12-31
TYL,Tyler Technologies,Information Technology,Application Software,2020-06-22
UA,Under Armour (Class C),Consumer Discretionary,"Apparel, Accessories & Luxury Goods",2016-04-08
UAA,Under Armour (Class A),Consumer Discretionary,"Apparel, Accessories & Luxury Goods",2014-05-01
UAL,United Airlines Holdings,Industrials,Airlines,2015-09-03
UDR,"UDR, Inc.",Real Estate,Residential REITs,2016-03-07
UHS,Universal Health Services,Health Care,Health Care Facilities,2014-09-20
ULTA,Ulta Beauty,Consumer Discretionary,Specialty Stores,2016-04-18
UNH,UnitedHealth Group Inc.,Health Care,Managed Health Care,1994-07-01
UNM,Unum Group,Financials,Life & Health Insurance,1994-03-01
UNP,Union Pacific Corp,Industrials,Railroads,1957-03-04
UPS,United Parcel Service,Industrials,Air Freight & Logistics,2002-07-22
URI,"United Rentals, Inc.",Industrials,Trading Companies & Distributors,2014-09-20
USB,U.S. Bancorp,Financials,Diversified Banks,
V,Visa Inc.,Information Technology,Data Processing & Outsourced Services,2009-12-21
VAR,Varian Medical Systems,Health Care,Health Care Equipment,2007-02-12
VFC,VF Corporation,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",1979-06-30
VIAC,ViacomCBS,Communication Services,Movies & Entertainment,
VLO,Valero Energy,Energy,Oil & Gas Refining & Marketing,
VMC,Vulcan Materials,Materials,Construction Materials,1999-06-30
VNO,Vornado Realty Trust,Real Estate,Office REITs,
VNT,Vontier,Information Technology,Electronic Equipment & Instruments,2020-10-09
VRSK,Verisk Analytics,Industrials,Research & Consulting Services,2015-10-08
VRSN,Verisign Inc.,Information Technology,Internet Services & Infrastructure,2006-02-01
VRTX,Vertex Pharmaceuticals Inc,Health Care,Biotechnology,2013-09-23
VTR,Ventas Inc,Real Estate,Health Care REITs,2009-03-04
VTRS,Viatris,Health Care,Pharmaceuticals,2004-04-23
VZ,Verizon Communications,Communication Services,Integrated Telecommunication Services,1983-11-30
WAB,Westinghouse Air Brake Technologies Corp,Industrials,Construction Machinery & Heavy Trucks,2019-02-27
WAT,Waters Corporation,Health Care,Health Care Distributors,
WBA,Walgreens Boots Alliance,Consumer Staples,Drug Retail,1979-12-31
WDC,Western Digital,Information Technology,"Technology Hardware, Storage & Peripherals",2009-07-01
WEC,WEC Energy Group,Utilities,Electric Utilities,2008-10-31
WELL,Welltower Inc.,Real Estate,Health Care REITs,2009-01-30
WFC,Wells Fargo,Financials,Diversified Banks,1976-06-30
WHR,Whirlpool Corp.,Consumer Discretionary,Household Appliances,
WLTW,Willis Towers Watson,Financials,Insurance Brokers,2016-01-05
WM,Waste Management Inc.,Industrials,Environmental & Facilities Services,
WMB,Williams Companies,Energy,Oil & Gas Storage & Transportation,1975-03-31
WMT,Walmart,Consumer Staples,Hypermarkets & Super Centers,1982-08-31
WRB,W. R. Berkley Corporation,Financials,Property & Casualty Insurance,2019-12-05
WRK,WestRock,Materials,Paper Packaging,
WST,West Pharmaceutical Services,Health Care,Health Care Supplies,2020-05-22
WU,Western Union Co,Information Technology,Data Processing & Outsourced Services,2006-09-29
WY,Weyerhaeuser,Real Estate,Specialized REITs,
WYNN,Wynn Resorts Ltd,Consumer Discretionary,Casinos & Gaming,2008-11-14
XEL,Xcel Energy Inc,Utilities,Multi-Utilities,1957-03-04
XLNX,Xilinx,Information Technology,Semiconductors,1999-11-08
XOM,Exxon Mobil Corp.,Energy,Integrated Oil & Gas,1957-03-04
XRAY,Dentsply Sirona,Health Care,Health Care Supplies,2008-11-14
XRX,Xerox,Information Technology,"Technology Hardware, Storage & Peripherals",
XYL,Xylem Inc.,Industrials,Industrial Machinery,2011-11-01
YUM,Yum! Brands Inc,Consumer Discretionary,Restaurants,1997-10-06
ZBH,Zimmer Biomet,Health Care,Health Care Equipment,2001-08-07
ZBRA,Zebra Technologies,Information Technology,Electronic Equipment & Instruments,2019-12-23
ZION,Zions Bancorp,Financials,Regional Banks,2001-06-22
ZTS,Zoetis,Health Care,Pharmaceuticals,2013-06-21
